Neighbourhood,population_2016,english,percent_english,french,percent_french,non_official_languages,percent_nol,low_income,percent_low,midplus_income,percent_midplus
Glenfield-Jane Heights,30491,13575,0.44521334164179593,175,0.005739398511036043,15010,0.4922764094322915,15260,0.500475550162343,14960,0.4906365812862812
Greenwood-Coxwell,14417,9555,0.6627592425608656,265,0.018381077894152737,4145,0.28750780328778525,4940,0.34265103697024346,9435,0.6544357355899285
Guildwood,9917,7130,0.7189674296662297,130,0.013108803065443179,2190,0.22083291317938894,1750,0.17646465665019664,7910,0.7976202480588888
Henry Farm,15723,4720,0.30019716339121033,145,0.009222158621128284,9795,0.6229727151307003,7230,0.45983590917763784,8485,0.5396552820708517
High Park North,22162,13495,0.6089251872574677,485,0.02188430647053515,7520,0.3393195559967512,6300,0.28427037271004424,15520,0.7002978070571249
High Park-Swansea,23925,15700,0.6562173458725182,500,0.02089864158829676,6715,0.2806687565308255,5055,0.21128526645768025,18280,0.7640543364681296
Highland Creek,12494,6665,0.533456058908276,80,0.006403073475268129,5220,0.4178005442612454,2835,0.2269089162798143,9620,0.7699695854009925
Hillcrest Village,16934,4870,0.28758710286996575,130,0.0076768631156253694,11355,0.6705444667532774,6110,0.36081256643439236,10795,0.6374749025628912
Humber Heights-Westmount,10948,4710,0.4302155644866642,65,0.0059371574716843255,5230,0.47771282426013884,3110,0.28407014979905004,6990,0.6384727804165145
Humber Summit,12416,4580,0.36887886597938147,35,0.002818943298969072,7175,0.5778833762886598,5275,0.4248550257731959,7130,0.5742590206185567
Humbermede,15545,6365,0.40945641685429396,65,0.0041814088131231905,8365,0.5381151495657768,7250,0.4663879060791251,8270,0.5320038597619814
Humewood-Cedarvale,14365,9605,0.6686390532544378,240,0.016707274625826662,3920,0.27288548555516884,4320,0.3007309432648799,9915,0.690219282979464
Ionview,13641,6460,0.47357231874496003,110,0.008063924932189721,6235,0.45707792683820836,6145,0.45048017007550767,7470,0.5476138113041565
Islington-City Centre West,43965,21280,0.4840213806436938,605,0.013760946207210282,19890,0.4524053224155578,12545,0.2853406118503355,30685,0.6979415444103264
Junction Area,14366,9060,0.6306557148823612,210,0.014617847695948767,4370,0.30419044967283865,3940,0.27425866629541973,10135,0.7054851733259084
Keelesdale-Eglinton West,11058,4150,0.37529390486525593,90,0.008138903960933261,6305,0.5701754385964912,4345,0.3929281967806113,6670,0.6031832157713872
Kennedy Park,17123,8220,0.480056064941891,155,0.00905215207615488,7885,0.4604917362611692,7945,0.4639957951293582,9150,0.5343689773988203
Kensington-Chinatown,17945,8210,0.4575090554471998,320,0.01783226525494567,8565,0.4772917247144051,9660,0.5383115073836723,7795,0.4343828364446921
Kingsview Village-The Westway,22000,9675,0.43977272727272726,265,0.012045454545454545,10925,0.4965909090909091,10160,0.4618181818181818,11830,0.5377272727272727
Kingsway South,9271,7055,0.7609750835940028,160,0.017258116708014238,1930,0.20817603279042174,885,0.09545895804120376,8285,0.8936468557868622
Lambton Baby Point,7985,5330,0.667501565435191,150,0.01878522229179712,2255,0.28240450845335,2280,0.2855353788353162,5690,0.7125860989355041
L'Amoreaux,43993,13590,0.3089127815788876,325,0.007387538926647421,28075,0.6381697088173118,19545,0.4442752256040734,23935,0.5440638283363263
Lansing-Westgate,16164,8275,0.5119401138332096,185,0.011445186834941846,7205,0.4457436278148973,4695,0.29046028210838903,11380,0.7040336550358822
Lawrence Park North,14607,11260,0.770863284726501,240,0.01643047853768741,2905,0.19887725063325803,1670,0.11432874649140823,12890,0.8824536181282947
Lawrence Park South,15179,12020,0.7918835232887542,270,0.01778773305224323,2650,0.174583305883128,1890,0.12451413136570262,13200,0.8696225047763357
Leaside-Bennington,16828,13450,0.7992631328737818,290,0.017233182790587116,2685,0.15955550273353933,2125,0.12627763251723317,14515,0.8625505110530068
Little Portugal,15559,9390,0.6035092229577737,250,0.01606787068577672,5315,0.34160293077961307,5075,0.3261777749212674,9970,0.6407866829487756
Long Branch,10084,6540,0.6485521618405394,145,0.01437921459738199,3125,0.30989686632288777,3375,0.33468861562871877,6680,0.6624355414518048
Malvern,43794,21045,0.48054528017536646,305,0.00696442435036763,20120,0.45942366534228435,18480,0.4219756130976846,25295,0.5775905375165548
Maple Leaf,10111,3835,0.379289882306399,35,0.0034615765008406685,5570,0.5508851745623579,3650,0.36099297794481255,6200,0.6131935515774899
Markland Wood,10554,5880,0.557134735645253,125,0.011843850672730718,4175,0.395584612469206,2025,0.19187038089823763,8430,0.7987492893689596
Milliken,26572,5305,0.1996462441667921,60,0.0022580159566460934,19965,0.7513548095739877,12860,0.4839680867078127,13185,0.4961990064729791
Mimico (includes Humber Bay Shores),33964,18940,0.5576492757036863,660,0.019432340124838063,12675,0.3731892592156401,10315,0.30370392179955247,22995,0.677040395713108
Morningside,17455,9095,0.5210541392151246,145,0.008307075336579777,7060,0.40446863362933255,7270,0.4164995703236895,9885,0.5663133772558007
Moss Park,20506,11830,0.5769043206866283,655,0.03194187067199844,5740,0.27991807275919245,8395,0.40939237296401054,10065,0.49083195162391496
Mount Dennis,13593,6955,0.5116604134480983,80,0.005885382182005444,5610,0.41271242551313175,6300,0.4634738468329287,6975,0.5131317589935996
Mount Olive-Silverstone-Jamestown,32954,12860,0.3902409419190387,180,0.005462159373672392,17970,0.5453055774716271,17880,0.5425744977847909,14945,0.4535109546640772
Mount Pleasant East,16775,12250,0.7302533532041728,380,0.022652757078986587,3710,0.22116244411326377,3065,0.1827123695976155,13695,0.8163934426229508
Mount Pleasant West,29658,17125,0.5774158743003575,700,0.023602400701328477,10525,0.35487895340211745,9565,0.32250994672600986,19340,0.6521006136624182
New Toronto,11463,7270,0.6342144290325394,195,0.017011253598534413,3530,0.3079473087324435,4650,0.4056529704265899,6635,0.5788188083398761
Newtonbrook East,16097,4125,0.2562589302354476,70,0.0043486363918742625,10880,0.6759023420513139,6550,0.4069081195253774,8975,0.5575573088153072
Newtonbrook West,23831,6495,0.27254416516302293,150,0.0062943225210859806,15840,0.6646804582266795,11025,0.46263270529981954,12605,0.5289329025219253
Niagara,31180,20505,0.6576330981398332,755,0.02421423989737011,8375,0.268601667735728,7335,0.23524695317511224,23105,0.7410198845413727
North Riverdale,11916,8750,0.7343068143672373,195,0.01636455186304129,2520,0.21148036253776434,2450,0.20560590802282644,9225,0.7741691842900302
North St. James Town,18615,7535,0.40478109051839917,385,0.020682245500940104,9450,0.5076551168412571,10710,0.5753424657534246,7650,0.410958904109589
Oakridge,13845,5665,0.40917298663777535,155,0.01119537739256049,7040,0.5084868183459733,8815,0.6366919465511015,4810,0.3474178403755869
Oakwood Village,21210,10810,0.5096652522395096,230,0.010843941537010843,9110,0.42951438000942954,8070,0.38048090523338046,12895,0.607967939651108
O'Connor-Parkview,18675,11140,0.5965194109772423,310,0.016599732262382864,6560,0.35127175368139224,7315,0.3917001338688086,11180,0.5986613119143239
Old East York,9233,5730,0.6206000216614318,135,0.014621466478934258,3065,0.33196144265135924,2520,0.27293404094010615,6700,0.7256579659915521
Palmerston-Little Italy,13826,9095,0.657818602632721,295,0.021336612179950816,4055,0.2932880081006799,4545,0.3287284825690728,9200,0.6654129900188052
Parkwoods-Donalda,34805,17410,0.5002154862807068,545,0.015658669731360438,15245,0.4380117799166786,13285,0.38169803189196955,21420,0.6154288176986065
Pelmo Park-Humberlea,10722,5185,0.48358515202387614,55,0.005129639992538706,5035,0.46959522477149784,2930,0.2732699123297892,7785,0.7260772243984331
Playter Estates-Danforth,7804,5745,0.7361609431060995,160,0.020502306509482315,1650,0.2114300358790364,1905,0.24410558687852382,5740,0.7355202460276781
Pleasant View,15818,4855,0.3069288152737388,135,0.008534580857251233,10250,0.6479959539764825,5710,0.3609811607029966,10090,0.6378808951827033
Princess-Rosethorn,11051,7005,0.6338792869423582,115,0.010406298072572618,3650,0.3302868518686092,1550,0.14025880010858746,9505,0.8601031580852412
Regent Park,10803,4695,0.43460149958344907,240,0.022216051096917523,5265,0.48736462093862815,6660,0.6164954179394613,4015,0.3716560214755161
Rexdale-Kipling,10529,5635,0.535188526925634,120,0.01139709374109602,4200,0.3988982809383607,3880,0.36850603096210466,6480,0.6154430620191851
Rockcliffe-Smythe,22246,10520,0.4728940034163445,215,0.009664658815067877,10635,0.4780634720848692,9360,0.4207497977164434,12875,0.5787557313674369
Roncesvalles,14974,10100,0.6745024709496461,330,0.022038199545879524,4090,0.2731401095231735,5260,0.35127554427674634,9615,0.6421129958594898
Rosedale-Moore Park,20923,15785,0.7544329207092673,495,0.023658175213879463,4215,0.20145294651818574,3440,0.16441236916312194,17175,0.8208669884815754
Rouge,46496,24205,0.5205824156916724,280,0.006022023399862354,19390,0.417025120440468,11595,0.2493762904335857,34470,0.7413540949759119
Runnymede-Bloor West Village,10070,7390,0.733862959285005,210,0.020854021847070508,2250,0.2234359483614697,1495,0.1484607745779543,8565,0.8505461767626614
Rustic,9941,4745,0.47731616537571675,50,0.0050296750829896385,4490,0.4516648224524696,5120,0.515038728498139,4625,0.4652449451765416
Scarborough Village,16724,8145,0.4870246352547237,205,0.01225783305429323,7250,0.43350872996890694,9060,0.5417364266921789,7390,0.4418799330303755
South Parkdale,21849,11625,0.5320609638885074,370,0.016934413474300882,8020,0.36706485422673807,10755,0.4922422078813676,9895,0.45288113872488445
South Riverdale,27876,17745,0.6365690916917779,615,0.02206198880757641,8305,0.29792653178361317,9100,0.3264456880470656,17960,0.6442818194862965
St.Andrew-Windfields,17812,8505,0.4774870873568381,235,0.013193352795867953,8525,0.47860992589265666,4620,0.25937570177408487,13050,0.7326521446216034
Steeles,24623,4580,0.18600495471713438,95,0.003858181375137067,18790,0.7631076635665841,11025,0.4477521016935386,13235,0.537505584209885
Stonegate-Queensway,25051,14565,0.5814139156121512,415,0.016566204941918485,9315,0.3718414434553511,5790,0.2311284978643567,19110,0.7628437986507525
Tam O'Shanter-Sullivan,27446,9480,0.34540552357356263,230,0.008380091816658166,16015,0.5835094367120892,11695,0.4261094512861619,15330,0.5585513371711724
Taylor-Massey,15683,6240,0.39788305808837593,180,0.01147739590639546,8160,0.5203086144232608,8695,0.5544219855894919,6795,0.43327169546642863
The Beaches,21567,18200,0.8438818565400844,555,0.0257337599109751,2460,0.11406315203783558,3685,0.1708628923818797,17755,0.8232484814763296
Thistletown-Beaumond Heights,10360,4405,0.4251930501930502,85,0.008204633204633204,5150,0.4971042471042471,4165,0.40202702702702703,5955,0.5748069498069498
Thorncliffe Park,21108,5060,0.23971953761606973,130,0.006158802349819974,14190,0.6722569641841956,14030,0.6646768997536479,6825,0.3233371233655486
Trinity-Bellwoods,16556,9035,0.5457236047354433,280,0.016912297656438754,6555,0.395928968349843,5800,0.35032616574051706,10430,0.6299830877023436
University,7607,4405,0.5790719074536611,140,0.018404101485473907,2360,0.3102405678979887,2730,0.3588799789667412,3965,0.5212304456421717
Victoria Village,17510,7965,0.45488292404340375,290,0.01656196459166191,7950,0.4540262707024557,7695,0.4394631639063392,9490,0.5419760137064534
Waterfront Communities-The Island,65913,39530,0.5997299470514162,1735,0.02632257672993188,22100,0.3352904586348672,17630,0.26747379120962483,48000,0.7282326703381731
West Hill,27392,16580,0.6052862149532711,360,0.013142523364485981,8895,0.3247298481308411,11625,0.4243939836448598,15340,0.560017523364486
West Humber-Clairville,33312,14825,0.44503482228626323,185,0.005553554274735831,16280,0.4887127761767531,11445,0.3435698847262248,21430,0.6433117195004803
Westminster-Branson,26274,7435,0.28297937124153155,240,0.009134505594884677,17180,0.6538783588338282,12345,0.46985613153688055,13720,0.522189236507574
Weston,17992,10325,0.5738661627389952,205,0.011393952867941308,6580,0.36571809693196977,8900,0.4946642952423299,8800,0.48910626945309027
Weston-Pelham Park,11098,5185,0.4672012975310867,115,0.010362227428365471,5300,0.47756352495945215,4460,0.4018742115696522,6630,0.5974049378266354
Wexford/Maryvale,27917,13540,0.4850091342192929,300,0.0107461403445929,12320,0.4413081634846151,10470,0.37504029802629224,17075,0.6116344879464126
Willowdale East,50434,13580,0.26926279890550026,465,0.009219970654717056,34475,0.6835666415513344,21440,0.42511004481104014,28810,0.5712416227148353
Willowdale West,16936,5785,0.3415800661313179,140,0.00826641473783656,10390,0.6134860651865848,6505,0.3840930562116202,10230,0.6040387340576288
Willowridge-Martingrove-Richview,22156,11470,0.517692724318469,265,0.01196064271529157,9530,0.4301317927423723,6750,0.30465788048384185,15405,0.6952969850153458
Woburn,53485,22645,0.42338973543984293,400,0.00747873235486585,27315,0.5107039356829017,25495,0.4766757034682621,27550,0.5150976909413855
Woodbine Corridor,12541,9515,0.7587114265210111,325,0.02591499880392313,2355,0.18778406825611993,3380,0.2695159875608006,9055,0.7220317359062276
Woodbine-Lumsden,7865,5405,0.6872218690400509,120,0.015257469802924348,2120,0.26954863318499683,2230,0.2835346471710108,5610,0.7132867132867133
Wychwood,14349,8445,0.5885427555927243,230,0.01602899156735661,4250,0.2961878876576765,4340,0.3024601017492508,8865,0.6178130880200711
Yonge-Eglinton,11817,8485,0.718033341795718,240,0.02030972328002031,2780,0.23525429466023526,2475,0.20944402132520945,9330,0.7895404925107895
Yonge-St.Clair,12528,9230,0.736749680715198,260,0.020753512132822477,2755,0.2199074074074074,2730,0.21791187739463602,9655,0.7706736909323116
York University Heights,27593,11385,0.4126046461058964,195,0.007067009748849346,14605,0.5293009096509984,13170,0.47729496611459427,14405,0.5220526945239735
Yorkdale-Glen Park,14804,5900,0.3985409348824642,100,0.006754931099702783,7390,0.49918940826803565,5070,0.3424750067549311,8960,0.6052418265333693
